"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"1072","Dürkheim, Bad","8,1929","49,4719","107.0","https://cdc.dwd.de/rest/metadata/station/html/812300517223"
"3761","Öhringen","9,5176","49,2070","276.0","https://cdc.dwd.de/rest/metadata/station/html/812300008167"
"6105","Ostenfeld (Rendsburg)","9,8051","54,3194","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300380007"
"161","Andernach","7,4202","50,4237","75.0","https://cdc.dwd.de/rest/metadata/station/html/812300986343"
"3987","Potsdam","13,0622","52,3812","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300794215"
"6336","Lohr/Main-Halsbach","9,6540","50,0132","288.0","https://cdc.dwd.de/rest/metadata/station/html/812300253351"
"757","Buchenbach","7,9983","47,9625","445.0","https://cdc.dwd.de/rest/metadata/station/html/812300059943"
"3946","Plauen","12,1300","50,4818","387.0","https://cdc.dwd.de/rest/metadata/station/html/812300413671"
"5146","Uelzen","10,5289","52,9414","50.0","https://cdc.dwd.de/rest/metadata/station/html/812300572135"
"6344","Runkel-Ennerich","8,1423","50,3940","168.0","https://cdc.dwd.de/rest/metadata/station/html/812300658855"
"6265","Wusterwitz","12,3867","52,3613","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300031271"
"2362","Hümmerich","7,4843","50,5651","331.0","https://cdc.dwd.de/rest/metadata/station/html/812300635751"
"2627","Schipkau-Klettwitz","13,8845","51,5554","128.0","https://cdc.dwd.de/rest/metadata/station/html/812300732455"
"5750","Zeitz","12,1495","51,0314","264.0","https://cdc.dwd.de/rest/metadata/station/html/812300764263"
"5871","Hahn","7,2645","49,9463","497.0","https://cdc.dwd.de/rest/metadata/station/html/812300346919"
"6337","Lüdinghausen-Brochtrup","7,5194","51,7663","58.0","https://cdc.dwd.de/rest/metadata/station/html/812300468583"
"4039","Quickborn","9,8776","53,7331","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300436775"
"15000","Aachen-Orsbach","6,0244","50,7983","231.0","https://cdc.dwd.de/rest/metadata/station/html/812300117991"
"4706","Simbach/Inn","13,0273","48,2718","358.0","https://cdc.dwd.de/rest/metadata/station/html/812300954535"
"5516","Fehmarn","11,0606","54,5283","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300967655"
"856","Chieming","12,5404","47,8843","551.0","https://cdc.dwd.de/rest/metadata/station/html/812300373735"
"5797","Lichtentanne","12,4329","50,6879","349.0","https://cdc.dwd.de/rest/metadata/station/html/812300826023"
"2932","Leipzig/Halle","12,2396","51,4347","131.0","https://cdc.dwd.de/rest/metadata/station/html/812300257767"
"13711","Krölpa-Rockendorf","11,5150","50,6820","289.0","https://cdc.dwd.de/rest/metadata/station/html/812300573991"
"3513","Neuhaus am Rennweg","11,1345","50,5003","845.0","https://cdc.dwd.de/rest/metadata/station/html/812300687527"
"131","Geringswalde-Altgeringswalde","12,9326","51,0881","296.0","https://cdc.dwd.de/rest/metadata/station/html/812300291431"
"4605","Schwarzburg","11,1936","50,6441","277.0","https://cdc.dwd.de/rest/metadata/station/html/812300512231"
"3167","Marienberg, Bad","7,9603","50,6621","547.0","https://cdc.dwd.de/rest/metadata/station/html/812300166631"
"1346","Feldberg/Schwarzwald","8,0038","47,8748","1486.0","https://cdc.dwd.de/rest/metadata/station/html/812300243367"
"840","Carlsfeld","12,6114","50,4313","895.0","https://cdc.dwd.de/rest/metadata/station/html/812300116135"
"7428","Veilsdorf","10,8156","50,4167","397.0","https://cdc.dwd.de/rest/metadata/station/html/812300867815"
"963","Diepholz","8,3424","52,5881","38.0","https://cdc.dwd.de/rest/metadata/station/html/812300036263"
"7368","Eisenach","10,3621","51,0007","312.0","https://cdc.dwd.de/rest/metadata/station/html/812300455463"
"1246","Ennigerloh-Ostenfelde","8,0607","51,8418","104.0","https://cdc.dwd.de/rest/metadata/station/html/812300068071"
"5424","Weimar-Schöndorf","11,3544","51,0177","328.0","https://cdc.dwd.de/rest/metadata/station/html/812300630759"
"4377","Sandberg","10,0034","50,3518","518.0","https://cdc.dwd.de/rest/metadata/station/html/812300423655"
"6170","Coschen","14,7254","52,0192","39.0","https://cdc.dwd.de/rest/metadata/station/html/812300325095"
"2485","Kaisersbach-Cronhütte","9,6871","48,9170","489.0","https://cdc.dwd.de/rest/metadata/station/html/812300121703"
"2601","Kleiner Feldberg/Taunus","8,4469","50,2218","822.0","https://cdc.dwd.de/rest/metadata/station/html/812300653863"
"1048","Dresden-Klotzsche","13,7543","51,1278","228.0","https://cdc.dwd.de/rest/metadata/station/html/812300059367"
"5822","Bassum","8,6989","52,8630","42.0","https://cdc.dwd.de/rest/metadata/station/html/812300975038"
"1645","Gilserberg-Moischeid","9,0500","50,9656","327.0","https://cdc.dwd.de/rest/metadata/station/html/812300535335"
"1207","Elster, Bad-Sohl","12,2742","50,2705","558.0","https://cdc.dwd.de/rest/metadata/station/html/812300269607"
"7298","Hattstedt","9,0425","54,5268","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300801063"
"3231","Meiningen","10,3771","50,5611","450.0","https://cdc.dwd.de/rest/metadata/station/html/812300275175"
"5839","Emden","7,2287","53,3881","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300396839"
"7329","Treuen","12,2863","50,5467","465.0","https://cdc.dwd.de/rest/metadata/station/html/812300944551"
"1327","Weilerswist-Lommersum","6,7905","50,7119","147.0","https://cdc.dwd.de/rest/metadata/station/html/812300401831"
"5275","Waghäusel-Kirrlach","8,5374","49,2445","105.0","https://cdc.dwd.de/rest/metadata/station/html/812300013159"
"13674","Waibstadt","8,9053","49,2943","237.0","https://cdc.dwd.de/rest/metadata/station/html/812300899623"
"3321","Mönchengladbach-Hilderath","6,3608","51,1313","76.0","https://cdc.dwd.de/rest/metadata/station/html/812301002236"
"4261","Rosenheim","12,1280","47,8753","442.0","https://cdc.dwd.de/rest/metadata/station/html/812300598951"
"3591","Nideggen-Schmidt","6,4240","50,6743","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300288295"
"896","Dachwig","10,8619","51,0778","170.0","https://cdc.dwd.de/rest/metadata/station/html/812300919591"
"1503","Friesoythe-Altenoythe","7,9020","53,0643","6.0","https://cdc.dwd.de/rest/metadata/station/html/812300154791"
"3540","Neunkirchen-Seelscheid-Krawinkel","7,3720","50,8446","195.0","https://cdc.dwd.de/rest/metadata/station/html/812300582119"
"5546","Wiesenburg","12,4586","52,1206","187.0","https://cdc.dwd.de/rest/metadata/station/html/812300500391"
"2319","Holzkirchen","11,6961","47,8823","685.0","https://cdc.dwd.de/rest/metadata/station/html/812300084903"
"3257","Mergentheim, Bad","9,7832","49,4797","278.0","https://cdc.dwd.de/rest/metadata/station/html/812300064935"
"3857","Oy-Mittelberg-Petersthal","10,3892","47,6362","886.0","https://cdc.dwd.de/rest/metadata/station/html/812300976359"
"1107","Ebrach","10,4991","49,8520","346.0","https://cdc.dwd.de/rest/metadata/station/html/812300198439"
"6129","Sohland/Spree","14,4266","51,0594","291.0","https://cdc.dwd.de/rest/metadata/station/html/812300532199"
"1050","Dresden-Hosterwitz","13,8470","51,0221","112.0","https://cdc.dwd.de/rest/metadata/station/html/812300177895"
